calories,carbs,category,fat,nutrition,protein,rating,reviewCount,source,title,url
299,48.0,Dessert,11.0,"{'@type': 'NutritionInformation', 'calories': '299 calories', 'fatContent': '11 grams fat', 'saturatedFatContent': '6 grams saturated fat', 'carbohydrateContent': '48 grams carbohydrates', 'sugarContent': '20 grams sugar', 'fiberContent': '1 grams fiber', 'proteinContent': '6 grams protein', 'sodiumContent': '0.39 milligram of sodium'}",6.0,0.1,0.1,bbcgoodfood,Crunchy crusted citrus scones,https://www.bbcgoodfood.com/recipes/crunchy-crusted-citrus-scones
988,68.0,Dinner,55.0,"{'@type': 'NutritionInformation', 'calories': '988 calories', 'fatContent': '55 grams fat', 'saturatedFatContent': '12 grams saturated fat', 'carbohydrateContent': '68 grams carbohydrates', 'sugarContent': '12 grams sugar', 'fiberContent': '5 grams fiber', 'proteinContent': '51 grams protein', 'sodiumContent': '2.8 milligram of sodium'}",51.0,0.1,0.1,bbcgoodfood,Steak & spring onion sandwich with miso mayo,https://www.bbcgoodfood.com/recipes/steak-spring-onion-sandwich-with-miso-mayo
3,0.6,Drink,0.1,"{'@type': 'NutritionInformation', 'calories': '3 calories', 'fatContent': '0.1 grams fat', 'carbohydrateContent': '0.6 grams carbohydrates', 'proteinContent': '0.3 grams protein'}",0.3,0.1,0.1,bbcgoodfood,Iced hibiscus tea,https://www.bbcgoodfood.com/recipes/iced-hibiscus-tea
66,7.0,"Buffet, Canapes, Dinner, Side dish, Starter",3.0,"{'@type': 'NutritionInformation', 'calories': '66 calories', 'fatContent': '3 grams fat', 'saturatedFatContent': '2 grams saturated fat', 'carbohydrateContent': '7 grams carbohydrates', 'proteinContent': '3 grams protein', 'sodiumContent': '0.31 milligram of sodium'}",3.0,0.1,0.1,bbcgoodfood,Rosemary & olive drop scones with goat's cheese,https://www.bbcgoodfood.com/recipes/rosemary-olive-drop-scones-goats-cheese
330,37.0,Dessert,18.0,"{'@type': 'NutritionInformation', 'calories': '330 calories', 'fatContent': '18 grams fat', 'saturatedFatContent': '6 grams saturated fat', 'carbohydrateContent': '37 grams carbohydrates', 'sugarContent': '26 grams sugar', 'fiberContent': '2 grams fiber', 'proteinContent': '4 grams protein', 'sodiumContent': '0.5 milligram of sodium'}",4.0,0.1,0.1,bbcgoodfood,Chocolate traybake,https://www.bbcgoodfood.com/recipes/chocolate-traybake
332,60.0,"Dessert, Dinner",8.0,"{'@type': 'NutritionInformation', 'calories': '332 calories', 'fatContent': '8 grams fat', 'saturatedFatContent': '4 grams saturated fat', 'carbohydrateContent': '60 grams carbohydrates', 'sugarContent': '35 grams sugar', 'fiberContent': '3 grams fiber', 'proteinContent': '7 grams protein', 'sodiumContent': '0.7 milligram of sodium'}",7.0,0.1,0.1,bbcgoodfood,Strawberry compote with sugared drop scones,https://www.bbcgoodfood.com/recipes/strawberry-compote-sugared-drop-scones
450,28.0,Lunch,25.0,"{'@type': 'NutritionInformation', 'calories': '450 calories', 'fatContent': '25 grams fat', 'saturatedFatContent': '5 grams saturated fat', 'carbohydrateContent': '28 grams carbohydrates', 'sugarContent': '3 grams sugar', 'fiberContent': '7 grams fiber', 'proteinContent': '28 grams protein', 'sodiumContent': '5.1 milligram of sodium'}",28.0,0.1,0.1,bbcgoodfood,Salmon club sandwich,https://www.bbcgoodfood.com/recipes/salmon-club-sandwich
118,17.0,"Brunch, Buffet, Lunch, Side dish",5.0,"{'@type': 'NutritionInformation', 'calories': '118 calories', 'fatContent': '5 grams fat', 'saturatedFatContent': '3 grams saturated fat', 'carbohydrateContent': '17 grams carbohydrates', 'fiberContent': '1 grams fiber', 'proteinContent': '3 grams protein', 'sodiumContent': '0.56 milligram of sodium'}",3.0,0.1,0.1,bbcgoodfood,Basic buttermilk scones,https://www.bbcgoodfood.com/recipes/buttermilk-scones-0
472,35.0,"Afternoon tea, Cocktails, Dessert",32.0,"{'@type': 'NutritionInformation', 'calories': '472 calories', 'fatContent': '32 grams fat', 'saturatedFatContent': '19 grams saturated fat', 'carbohydrateContent': '35 grams carbohydrates', 'sugarContent': '19 grams sugar', 'fiberContent': '1 grams fiber', 'proteinContent': '6 grams protein', 'sodiumContent': '0.11 milligram of sodium'}",6.0,0.1,0.1,bbcgoodfood,Piña colada tart,https://www.bbcgoodfood.com/recipes/pina-colada-tart
293,28.2,"Dinner, Lunch, Snack, Supper",7.3,"{'@type': 'NutritionInformation', 'calories': '293 calories', 'fatContent': '7.3 grams fat', 'saturatedFatContent': '1.4 grams saturated fat', 'carbohydrateContent': '28.2 grams carbohydrates', 'sugarContent': '3.9 grams sugar', 'fiberContent': '1.7 grams fiber', 'proteinContent': '28 grams protein', 'sodiumContent': '1.2 milligram of sodium'}",28.0,0.1,0.1,bbcgoodfood,Lighter Fish finger sarnies,https://www.bbcgoodfood.com/recipes/lighter-fish-finger-sarnies
327,27.0,"Lunch, Main course",10.0,"{'@type': 'NutritionInformation', 'calories': '327 calories', 'fatContent': '10 grams fat', 'saturatedFatContent': '2 grams saturated fat', 'carbohydrateContent': '27 grams carbohydrates', 'sugarContent': '5 grams sugar', 'fiberContent': '9 grams fiber', 'proteinContent': '27 grams protein', 'sodiumContent': '0.9 milligram of sodium'}",27.0,0.1,0.1,bbcgoodfood,Open rye sandwich with chicken & avocado,https://www.bbcgoodfood.com/recipes/open-rye-sandwich-chicken-avocado
540,47.0,Dessert,36.0,"{'@type': 'NutritionInformation', 'calories': '540 calories', 'fatContent': '36 grams fat', 'saturatedFatContent': '22 grams saturated fat', 'carbohydrateContent': '47 grams carbohydrates', 'sugarContent': '33 grams sugar', 'fiberContent': '2 grams fiber', 'proteinContent': '5 grams protein', 'sodiumContent': '0.5 milligram of sodium'}",5.0,0.1,0.1,bbcgoodfood,Summer party cake,https://www.bbcgoodfood.com/recipes/summer-party-cake
332,29.0,Dessert,21.0,"{'@type': 'NutritionInformation', 'calories': '332 calories', 'fatContent': '21 grams fat', 'saturatedFatContent': '12 grams saturated fat', 'carbohydrateContent': '29 grams carbohydrates', 'sugarContent': '21 grams sugar', 'fiberContent': '1 grams fiber', 'proteinContent': '6 grams protein', 'sodiumContent': '0.21 milligram of sodium'}",6.0,0.1,0.1,bbcgoodfood,Chocolate Swiss roll,https://www.bbcgoodfood.com/recipes/chocolate-swiss-roll
229,39.0,"Afternoon tea, Treat",8.0,"{'@type': 'NutritionInformation', 'calories': '229 calories', 'fatContent': '8 grams fat', 'saturatedFatContent': '5 grams saturated fat', 'carbohydrateContent': '39 grams carbohydrates', 'sugarContent': '10 grams sugar', 'fiberContent': '1 grams fiber', 'proteinContent': '4 grams protein', 'sodiumContent': '0.6 milligram of sodium'}",4.0,0.1,0.1,bbcgoodfood,Buttermilk scones,https://www.bbcgoodfood.com/recipes/buttermilk-scones
539,94.0,"Afternoon tea, Dessert, Treat",14.0,"{'@type': 'NutritionInformation', 'calories': '539 calories', 'fatContent': '14 grams fat', 'saturatedFatContent': '7 grams saturated fat', 'carbohydrateContent': '94 grams carbohydrates', 'sugarContent': '65 grams sugar', 'fiberContent': '2 grams fiber', 'proteinContent': '8 grams protein', 'sodiumContent': '0.8 milligram of sodium'}",8.0,0.1,0.1,bbcgoodfood,IPA treacle tart,https://www.bbcgoodfood.com/recipes/ipa-treacle-tart
923,42.0,"Lunch, Main course",60.0,"{'@type': 'NutritionInformation', 'calories': '923 calories', 'fatContent': '60 grams fat', 'saturatedFatContent': '28 grams saturated fat', 'carbohydrateContent': '42 grams carbohydrates', 'sugarContent': '6 grams sugar', 'fiberContent': '3 grams fiber', 'proteinContent': '52 grams protein', 'sodiumContent': '3 milligram of sodium'}",52.0,0.1,0.1,bbcgoodfood,Chicken liver & chorizo open sandwich,https://www.bbcgoodfood.com/recipes/chicken-liver-chorizo-open-sandwich
385,29.0,"Afternoon tea, Dessert, Treat",27.0,"{'@type': 'NutritionInformation', 'calories': '385 calories', 'fatContent': '27 grams fat', 'saturatedFatContent': '16 grams saturated fat', 'carbohydrateContent': '29 grams carbohydrates', 'sugarContent': '25 grams sugar', 'fiberContent': '1 grams fiber', 'proteinContent': '6 grams protein', 'sodiumContent': '0.3 milligram of sodium'}",6.0,0.1,0.1,bbcgoodfood,Caramel chocolate log,https://www.bbcgoodfood.com/recipes/caramel-chocolate-log
